ISA,Provider,Location,Processor,Manufacturer,Core Platform,Sources
RV64GC+V,[Scaleway](https://www.scaleway.com/en/) [@scalewayScalewayLaunchesIts2024],France,[Alibaba T-Head TH1520](https://www.alibabacloud.com/blog/alibaba-cloud-unveils-chip-development-platform-to-support-developers-with-risc-v-based-high-performance-socs_599265),[XuanTie](https://www.xrvm.com/product/xuantie/4224884581230252032),[XuanTie C910](https://www.xrvm.com/product/xuantie/C910),[C910](https://github.com/T-head-Semi/openc910)
RV64IMAC,[Cloud-V](https://cloud-v.co/) [@risc-vinternationalCloudVAcceleratingRISCV],United States,[FU540](https://static.dev.sifive.com/FU540-C000-v1.0.pdf) discontinued,[SiFive](https://www.sifive.com/),,[Freedom](https://github.com/sifive/freedom)
RV64GC,[Cloud-V](https://cloud-v.co/) [@risc-vinternationalCloudVAcceleratingRISCV],United States,[JH7100](https://www.starfivetech.com/en/site/soc),[StarFive](https://www.starfivetech.com),[SiFive U74](https://www.sifive.com/cores/u74),[Rocket](https://github.com/chipsalliance/rocket-chip) + [BOOM](https://github.com/riscv-boom/riscv-boom)
RV64GC,[Cloud-V](https://cloud-v.co/) [@risc-vinternationalCloudVAcceleratingRISCV],United States,[JH7110](https://doc-en.rvspace.org/JH7110/TRM/JH7110_DS/highlighted_features.html),[StarFive](https://www.starfivetech.com),[SiFive U74](https://www.sifive.com/cores/u74),[Rocket](https://github.com/chipsalliance/rocket-chip) + [BOOM](https://github.com/riscv-boom/riscv-boom)
Mixed,[Cloud-V](https://cloud-v.co/) [@risc-vinternationalCloudVAcceleratingRISCV],United States,"[`microchip-icicle-kit`, `shakti_{c,e,u}`, `spike`, `virt`](https://www.qemu.org/docs/master/system/target-riscv.html#board-specific-documentation)",[QEMU](https://www.qemu.org/docs/master/system/index.html),[`cpu.h`](https://github.com/qemu/qemu/blob/master/target/riscv/cpu.h),-
